epe_nas,fisher,flops,grad_norm,grasp,jacov,l2_norm,nwot,params,plain,snip,synflow,zen,clean,fgsm,pgd,apgd,square,isomorphTo,hessian,jacob_fro
1283.299107842009,0.036440409719944,19.248832,10.883214950561523,0.2447352409362793,-88.28987084337544,130.2005157470703,754.6843327648469,0.129306,0.0338748097419738,22.92317771911621,44.48481149764257,63.38789367675781,0.856,0.35,0.295,0.186,0.614,0,423.96337890625,538.9644165039062
1712.8606142675053,0.0233829785138368,85.235392,12.691692352294922,2.205326557159424,-65.19330998681718,180.4873962402344,785.6229613560918,0.587386,0.0795390382409095,26.610858917236328,85.29524686388314,119.49333190917967,0.938,0.619,0.378,0.161,0.657,1,52.70781707763672,617.7855224609375
1640.7857527934736,0.1154566332697868,49.415872,20.088592529296875,7.878273010253906,-66.15394809521217,130.05535888671875,762.608593864656,0.344346,0.1193678379058837,44.17824935913086,51.838875835172274,49.96934127807617,0.858,0.431,0.391,0.292,0.654,2,435.9110107421875,323.1959228515625
1892.5586892525748,0.0911672711372375,83.945152,24.872453689575195,12.207822799682615,-65.28530549355202,180.93431091308597,788.9173976717508,0.587386,0.0775022730231285,51.88956069946289,60.21215631143575,92.6699676513672,0.868,0.317,0.258,0.159,0.57,3,248.61778259277344,583.93017578125
-100000000.0,1.284598602069309e-05,46.343872,0.0,0.0,-100000000.0,78.92945861816406,557.4081400025452,0.316346,0.0,0.0,0.0,-100000000.0,0.881,0.337,0.234,0.117,0.589,4,319.4335327148437,704.424560546875
1716.0236011317409,0.0169119127094745,48.125632,8.115551948547363,1.9827115535736084,-65.28344842742894,129.8516845703125,764.6783346746591,0.344346,0.1216205283999443,16.491256713867188,64.23253297064824,68.74726867675781,0.914,0.503,0.347,0.186,0.669,5,67.73944091796875,757.8634033203125
821.2055248381621,0.0438052900135517,9.234112,7.375757694244385,-0.2501287460327148,-323.98552940547506,27.91068649291992,613.47421877534,0.073306,0.2111278474330902,13.997645378112791,14.751044345546353,8.298362731933594,0.927,0.555,0.372,0.185,0.662,6,44.66011047363281,568.3246459960938
1379.89745040241,0.1613217145204544,26.683072,41.271331787109375,23.26620483398437,-78.71433303714447,231.91815185546875,803.9103852979313,0.185306,0.1590510755777359,68.32852172851562,55.762510616244505,66.95525360107422,0.918,0.44,0.228,0.085,0.603,7,63.8309326171875,1533.39306640625
1591.6683179803877,2.9198594093322754,92.669632,194.8293609619141,352.8389892578125,-65.19380110251575,283.02349853515625,820.6268521754345,0.643386,0.1467128694057464,300.7577819824219,76.73583022144935,103.12029266357422,0.921,0.501,0.297,0.119,0.616,8,48.69778823852539,995.4951171875
1569.4626072913786,0.7568210959434509,21.030592,76.18067932128906,41.82188415527344,-65.16970990531648,180.6788482666016,788.8671682218322,0.157306,0.0372303687036037,118.37274169921876,60.55435810174346,53.628456115722656,0.863,0.296,0.246,0.147,0.57,9,151.2958984375,621.1199340820312
1010.6997674092124,0.0059870281256735,80.873152,4.740635395050049,0.2549699544906616,-159.4459455532422,129.74256896972656,749.2247668315188,0.559386,0.2028653621673584,6.890882968902588,79.8562337431612,146.04049682617188,0.1,0.1,0.1,0.1,0.1,10,1.0005823373794556,0.0
1343.219095055381,0.0257412269711494,14.886592,12.248308181762695,4.573790550231934,-77.27524334185847,78.75251770019531,720.1122926916443,0.101306,0.1748334467411041,17.00823211669922,44.370997002849485,47.17691802978516,0.918,0.469,0.246,0.093,0.587,11,97.19377136230467,777.565673828125
760.4854633995253,0.0079801734536886,83.453632,3.7687854766845694,-0.0051485300064086,-302.523394254078,129.9528350830078,742.4495540325421,0.559386,0.2121671140193939,8.054962158203125,59.42961412087291,218.2964324951172,0.1,0.1,0.1,0.1,0.1,12,1.000895380973816,0.0
1439.984081674301,0.0141766844317317,14.886592,6.751049518585205,1.675703048706055,-68.38220643258114,78.62447357177734,719.0550598237212,0.101306,0.0520188994705677,12.947476387023926,44.316301092247926,53.293853759765625,0.919,0.505,0.3,0.123,0.633,13,66.58747100830078,906.1439208984376
1759.0502301740662,0.0069144302979111,48.125632,3.295584201812744,0.2122688293457031,-65.1621039575148,129.539306640625,726.2309279000735,0.344346,0.096777006983757,7.349471569061279,35.93611633055755,45.09450912475586,0.923,0.495,0.296,0.121,0.624,14,60.18351364135742,1053.2298583984375
1780.8423889219996,14.768516540527344,88.307392,432.4928894042969,3417.2177734375,-65.52012286115735,232.03797912597656,805.6026286519041,0.615386,0.2853628396987915,594.7427978515625,84.11342939698255,81.81071472167969,0.589,0.391,0.406,0.38,0.464,15,632.7421875,12.83591079711914
1679.4559104040852,0.0339903980493545,16.668352,13.116610527038574,0.6599588394165039,-65.34990740783309,129.68309020996094,764.8862357675936,0.129306,0.0800249055027961,26.53951644897461,48.01176973266251,50.32975006103516,0.931,0.626,0.411,0.165,0.667,16,29.53431510925293,741.3341064453125
1822.928713945606,0.1712996214628219,116.692672,27.246566772460938,3.6640663146972656,-66.14869465105981,180.822509765625,785.1304272717874,0.802426,0.1300294399261474,62.21353530883789,57.75717645219949,91.53289794921876,0.895,0.462,0.344,0.204,0.644,17,117.41940307617188,682.4925537109375
1620.2126146010796,0.0623840168118476,13.596352,12.243776321411133,1.7368850708007812,-65.28894109530863,78.63822937011719,729.1276329633491,0.101306,0.0306106396019458,22.594884872436523,31.43997843651096,22.46230697631836,0.912,0.534,0.379,0.215,0.667,18,64.53784942626953,650.5946044921875
1683.289833978447,0.0094735510647296,83.945152,7.60260534286499,0.726691722869873,-65.19418173404212,180.8177032470703,784.6464283606705,0.587386,0.0686383917927742,16.775693893432617,69.78803859927908,151.4396209716797,0.884,0.513,0.46,0.352,0.682,19,154.78802490234375,379.78997802734375
1544.164402181577,0.3705295622348785,119.764672,57.67108917236328,65.06588745117188,-65.33659645629842,231.8954620361328,806.3800751388184,0.830426,0.0732884183526039,102.37663269042967,81.71545203505279,116.24893951416016,0.901,0.457,0.34,0.202,0.63,20,125.68482208251952,602.2334594726562
1405.1192907526115,0.1621605902910232,55.068352,35.005455017089844,6.051942825317383,-72.3404863498014,181.01400756835935,783.0771360968265,0.372346,0.0893038734793663,61.288177490234375,58.11827613534395,84.51341247558594,0.922,0.52,0.299,0.123,0.629,21,62.49349212646485,1170.01171875
1630.2122363414742,0.0148731274530291,56.850112,9.146218299865724,2.5363736152648926,-65.06693012270362,231.8136138916016,805.8500143303527,0.400346,0.0832978785037994,20.089141845703125,71.94310619246093,122.34158325195312,0.901,0.404,0.255,0.128,0.595,22,131.9783935546875,1166.8341064453125
1828.2181165289387,0.1837514042854309,86.525632,30.65985870361328,7.408657073974609,-65.56325446253163,180.71975708007807,786.3330129420569,0.587386,0.1486211270093917,71.26507568359375,83.0808013201365,88.09967803955078,0.902,0.435,0.298,0.162,0.623,23,138.8798828125,957.5418701171876
730.713956865814,0.0117645347490906,82.163392,5.285454273223877,-0.0339381694793701,-170.12541504958682,129.81344604492188,744.925335779055,0.559386,0.117942988872528,6.667745590209961,59.48561230088869,206.2733612060547,0.867,0.427,0.379,0.268,0.656,24,454.73095703125,385.1890258789063
1584.8259204531337,0.0330850854516029,52.487872,12.298160552978516,2.085690498352051,-65.19657266597058,180.619873046875,764.609774702185,0.372346,0.0990803986787796,21.72135734558105,31.387203041593636,31.030292510986328,0.904,0.39,0.207,0.082,0.547,26,172.4159393310547,1417.9481201171875
1340.733292810844,0.0549653731286525,49.415872,17.070035934448242,6.259952545166016,-81.27933501806808,130.01048278808594,755.117659628847,0.344346,0.1496715247631073,26.80799674987793,53.15010064809898,86.02108764648438,0.904,0.409,0.243,0.106,0.582,27,139.11453247070312,884.9996948242188
839.0636188860718,0.0413081608712673,13.596352,8.943314552307129,1.7695674896240234,-353.2961018984237,78.90262603759766,712.5157466364736,0.101306,0.0810006558895111,16.46194839477539,14.751044345546353,18.48637962341309,0.861,0.408,0.362,0.253,0.622,28,551.6586303710938,441.9834899902344
1684.995545693417,0.0143403783440589,115.402432,9.43152141571045,1.3439960479736328,-65.23542602145932,180.7445373535156,786.3149639328625,0.802426,0.0953897386789321,22.711572647094727,90.83422704797532,139.26226806640625,0.909,0.485,0.334,0.178,0.649,31,86.91665649414062,866.8350830078125
1879.1657096068925,0.0096466736868023,17.958592,5.460978031158447,1.1772741079330444,-65.91601057155306,129.71926879882812,758.1389317208398,0.129306,0.184093952178955,13.588604927062988,49.73514314004348,91.00862121582033,0.923,0.495,0.284,0.11,0.622,32,47.439334869384766,1269.9439697265625
1786.7577872807858,0.0106070917099714,52.487872,8.879321098327637,1.468550205230713,-65.31450739717616,180.4933013916016,785.968139151947,0.372346,0.065944880247116,18.161970138549805,74.2092435236242,104.41571807861328,0.92,0.511,0.286,0.112,0.598,33,109.03074645996094,1314.8692626953125
1822.8578133791063,0.0556391477584838,17.958592,15.83277702331543,5.503627777099609,-65.85450307479722,129.78602600097656,761.1181510639664,0.129306,0.1328251659870147,31.803693771362305,49.61807482535624,43.11167144775391,0.911,0.488,0.311,0.136,0.638,34,72.0534439086914,972.7200927734376
1258.1603251839117,0.0154755832627415,19.248832,7.518248081207275,1.687241554260254,-78.46514102879854,129.9379425048828,757.4962280853867,0.129306,0.1623646914958953,15.37332248687744,44.4247749823984,85.60550689697266,0.917,0.498,0.314,0.152,0.615,35,115.23684692382812,907.2227783203124
1909.340701400541,0.5065733194351196,153.802432,73.29317474365234,68.6708984375,-65.3814366687438,231.69444274902344,804.4230642986726,1.045466,0.1845190823078155,116.65440368652344,91.4832776878103,128.29307556152344,0.909,0.481,0.319,0.167,0.643,36,84.97808837890625,954.7020263671876
1658.251179256332,0.711651086807251,188.331712,117.09149932861328,289.4501037597656,-65.29157266633416,282.84930419921875,818.5171603013091,1.288506,0.0621730685234069,246.10845947265625,113.46121826350736,151.74853515625,0.902,0.389,0.267,0.14,0.619,37,127.53834533691406,878.4008178710938
1865.27794880496,0.0972635820508003,85.235392,20.031444549560547,13.008329391479492,-65.577870023622,180.66189575195312,761.8010966035348,0.587386,0.1754050552845001,42.78725051879883,64.17784238934279,53.774784088134766,0.921,0.538,0.301,0.117,0.602,38,71.93102264404297,700.8062133789062
1672.721084005309,0.1905570775270462,82.163392,34.79663848876953,4.716800689697266,-66.0451756737757,129.92149353027344,761.8653155831364,0.559386,0.1187731623649597,56.02499771118164,57.78149427671061,64.82492065429688,0.892,0.353,0.237,0.118,0.598,39,104.1509017944336,970.353271484375
1695.485671342256,0.088452823460102,50.706112,20.063152313232425,10.342044830322266,-65.87413864484938,129.7294158935547,758.8319741488406,0.344346,0.1388540416955948,34.68167495727539,64.17992884027015,58.39886474609375,0.758,0.48,0.491,0.442,0.55,40,428.80224609375,53.44151306152344
1610.86892202458,0.3736907541751861,56.850112,46.69589614868164,26.071258544921875,-65.14436141432583,231.7651824951172,788.0504200558509,0.400346,0.0830250084400177,87.66338348388672,52.19953233459798,50.73087310791016,0.882,0.364,0.234,0.113,0.57,41,158.50025939941406,870.4706420898438
1610.8968893171443,0.0309183988720178,53.778112,12.06950855255127,2.2174835205078125,-65.22592067612695,180.87179565429688,786.2980888768719,0.372346,0.1626026630401611,26.40438461303711,74.27289160324521,80.19388580322266,0.935,0.596,0.368,0.158,0.673,42,26.55802726745605,634.3095092773438
1686.6696888387614,0.0940825641155242,52.487872,27.288610458374023,8.166971206665039,-65.1309269408914,180.3427276611328,787.9727050136818,0.372346,0.0297816209495067,50.23221969604492,66.60716465327558,72.48686218261719,0.918,0.529,0.348,0.157,0.64,43,91.41700744628906,769.8177490234375
